mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
no_cache,22,4194304,0,4194304,hard,921826,8,permuted,R=2025,0.825503,0.881127,0.936872,,4194304,/home/and/PY2-Paralela/logs/permuted_b22_hard_R2025_no_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,naive,,3.589770,0.001399,2565.954253,4,1171,/home/and/PY2-Paralela/logs/naive_b23_easy_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,cyclic,,3.589770,0.822303,4.365508,1,4133498,/home/and/PY2-Paralela/logs/cyclic_b23_easy_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,dynamic,B=20000,3.589770,1.182694,3.035248,4,4219970,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B20000_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,dynamic,B=50000,3.589770,1.168236,3.072812,7,4165484,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B50000_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,dynamic,B=100000,3.589770,1.239945,2.895104,6,4673960,/home/and/PY2-Paralela/logs/dynamic_b23_easy_B100000_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,dynamic_adaptive,T=10,3.589770,1.036039,3.464899,6,4218070,/home/and/PY2-Paralela/logs/dynamic_adaptive_b23_easy_T10_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,dynamic_adaptive,T=30,3.589770,1.200677,2.989788,2,4249001,/home/and/PY2-Paralela/logs/dynamic_adaptive_b23_easy_T30_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,dynamic_adaptive,T=50,3.589770,1.044072,3.438240,7,4194305,/home/and/PY2-Paralela/logs/dynamic_adaptive_b23_easy_T50_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,permuted,R=12345,3.589770,0.094692,37.909961,0,570750,/home/and/PY2-Paralela/logs/permuted_b23_easy_R12345_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,permuted,R=54321,3.589770,0.040059,89.612072,5,348926,/home/and/PY2-Paralela/logs/permuted_b23_easy_R54321_with_cache.txt
with_cache,23,8388608,0,8388608,easy,4194305,8,permuted,R=2025,3.589770,0.070028,51.261924,5,568293,/home/and/PY2-Paralela/logs/permuted_b23_easy_R2025_with_cache.txt
